ID	Clone_ID	population	replicate	Block	infection_status	pop_age	GFP_pos	GFP_neg	Total	fitness_ln(w)	treatment									
73	G-13-10	G-13	1	D	infected	5	30	57	87	0.641853886	No									
157	G-13-10	G-13	2	H	infected	5	42	40	82	-0.048790164	No									
61	G-13-11	G-13	1	C	infected	5	57	28	85	-0.710846758	No									
145	G-13-11	G-13	2	G	infected	5	55	26	81	-0.749236647	No									
49	G-13-13	G-13	1	C	infected	5	44	47	91	0.065957968	No									
133	G-13-13	G-13	2	G	infected	5	12	71	83	1.777773227	No									
13	G-13-15	G-13	1	A	infected	5	42	37	79	-0.126751706	No									
97	G-13-15	G-13	2	E	infected	5	49	36	85	-0.30830136	No									
1	G-13-4	G-13	1	A	infected	5	33	47	80	0.35364004	No									
85	G-13-4	G-13	2	E	infected	5	55	28	83	-0.675128675	No									
37	G-13-7	G-13	1	B	infected	5	49	38	87	-0.254234138	No									
121	G-13-7	G-13	2	F	infected	5	26	57	83	0.78495473	No									
25	G-13-8	G-13	1	B	infected	5	52	38	90	-0.313657559	No									
109	G-13-8	G-13	2	F	infected	5	16	64	80	1.386294361	No									
14	G-2-10	G-2	1	A	uninfected	7.5	38	43	81	0.123613956	No									
98	G-2-10	G-2	2	E	uninfected	7.5	23	56	79	0.889857475	No									
74	G-2-16	G-2	1	D	uninfected	7.5	53	44	97	-0.18610228	No									
158	G-2-16	G-2	2	H	uninfected	7.5	42	40	82	-0.048790164	No									
62	G-2-19	G-2	1	C	uninfected	7.5	40	49	89	0.202940844	No									
146	G-2-19	G-2	2	G	uninfected	7.5	73	8	81	-2.211017899	No									
50	G-2-2	G-2	1	C	uninfected	7.5	62	30	92	-0.725937003	No									
134	G-2-2	G-2	2	G	uninfected	7.5	46	35	81	-0.273293335	No									
26	G-2-3	G-2	1	B	uninfected	7.5	64	23	87	-1.023388867	No									
110	G-2-3	G-2	2	F	uninfected	7.5	58	24	82	-0.88238918	No									
38	G-2-4	G-2	1	B	uninfected	7.5	50	37	87	-0.301105093	No									
122	G-2-4	G-2	2	F	uninfected	7.5	47	36	83	-0.266628663	No									
2	G-2-7	G-2	1	A	uninfected	7.5	46	36	82	-0.245122458	No									
86	G-2-7	G-2	2	E	uninfected	7.5	18	61	79	1.220502106	No									
10	K-10-1	K-10	1	A	infected	15	62	21	83	-1.082611947	No									
94	K-10-1	K-10	2	E	infected	15	62	20	82	-1.131402111	No									
82	K-10-11	K-10	1	D	infected	15	34	58	92	0.534082486	No								 	
166	K-10-11	K-10	2	H	infected	15	18	67	85	1.314320861	No									
70	K-10-15	K-10	1	D	infected	15	21	72	93	1.232143681	No									
154	K-10-15	K-10	2	H	infected	15	30	53	83	0.569094532	No									
34	K-10-16	K-10	1	B	infected	15	71	17	88	-1.429466533	No									
118	K-10-16	K-10	2	F	infected	15	51	31	82	-0.497838428	No									
22	K-10-2	K-10	1	B	infected	15	68	21	89	-1.174985267	No									
106	K-10-2	K-10	2	F	infected	15	46	36	82	-0.245122458	No									
46	K-10-3	K-10	1	C	infected	15	31	55	86	0.573345981	No									
130	K-10-3	K-10	2	G	infected	15	13	67	80	1.639743262	No									
58	K-10-9	K-10	1	C	infected	15	49	35	84	-0.336472237	No									
142	K-10-9	K-10	2	G	infected	15	14	65	79	1.53532994	No									
45	LA-29-1	LA-29	1	C	uninfected	15	79	9	88	-2.172223275	No									
129	LA-29-1	LA-29	2	G	uninfected	15	82	3	85	-3.308106959	No									
81	LA-29-11	LA-29	1	D	uninfected	15	66	18	84	-1.299282984	No									
165	LA-29-11	LA-29	2	H	uninfected	15	77	7	84	-2.397895273	No									
21	LA-29-15	LA-29	1	A	uninfected	15	75	10	85	-2.014903021	No									
105	LA-29-15	LA-29	2	E	uninfected	15	78	4	82	-2.970414466	No									
69	LA-29-3	LA-29	1	D	uninfected	15	85	1	86	-4.442651256	No									
153	LA-29-3	LA-29	2	H	uninfected	15	84	2	86	-3.737669618	No									
57	LA-29-5	LA-29	1	C	uninfected	15	82	5	87	-2.797281335	No									
141	LA-29-5	LA-29	2	G	uninfected	15	57	28	85	-0.710846758	No									
9	LA-29-7	LA-29	1	A	uninfected	15	70	12	82	-1.763588592	No									
93	LA-29-7	LA-29	2	E	uninfected	15	80	1	81	-4.382026635	No									
33	LA-29-9	LA-29	1	B	uninfected	15	82	8	90	-2.327277706	No									
117	LA-29-9	LA-29	2	F	uninfected	15	77	5	82	-2.734367509	No									
47	M-64-1	M-64	1	C	uninfected	9	64	26	90	-0.900786545	No									
131	M-64-1	M-64	2	G	uninfected	9	64	19	83	-1.214444104	No									
23	M-64-12	M-64	1	B	uninfected	9	72	16	88	-1.504077397	No									
107	M-64-12	M-64	2	F	uninfected	9	62	22	84	-1.036091932	No									
83	M-64-13	M-64	1	D	uninfected	9	62	25	87	-0.90825856	No									
167	M-64-13	M-64	2	H	uninfected	9	49	33	82	-0.395312737	No									
11	M-64-15	M-64	1	A	uninfected	9	52	28	80	-0.619039208	No									
95	M-64-15	M-64	2	E	uninfected	9	48	34	82	-0.344840486	No									
35	M-64-2	M-64	1	B	uninfected	9	62	21	83	-1.082611947	No									
119	M-64-2	M-64	2	F	uninfected	9	65	17	82	-1.341173926	No									
59	M-64-5	M-64	1	C	uninfected	9	75	14	89	-1.678430784	No									
143	M-64-5	M-64	2	G	uninfected	9	55	16	71	-1.234744463	No									
71	M-64-6	M-64	1	D	uninfected	9	44	51	95	0.147635999	No									
155	M-64-6	M-64	2	H	uninfected	9	63	23	86	-1.00764051	No									
44	N-27-10	N-27	1	C	infected	30.5	24	59	83	0.899483614	No									
128	N-27-10	N-27	2	G	infected	30.5	10	72	82	1.974081026	No									
80	N-27-15	N-27	1	D	infected	30.5	31	55	86	0.573345981	No									
164	N-27-15	N-27	2	H	infected	30.5	74	17	91	-1.470851749	No									
56	N-27-2	N-27	1	C	infected	30.5	34	50	84	0.385662481	No									
140	N-27-2	N-27	2	G	infected	30.5	50	35	85	-0.356674944	No									
68	N-27-4	N-27	1	D	infected	30.5	40	51	91	0.242946179	No									
152	N-27-4	N-27	2	H	infected	30.5	49	35	84	-0.336472237	No									
8	N-27-5	N-27	1	A	infected	30.5	31	52	83	0.517256514	No									
92	N-27-5	N-27	2	E	infected	30.5	19	63	82	1.198695747	No									
20	N-27-6	N-27	1	A	infected	30.5	57	23	80	-0.907557052	No									
104	N-27-6	N-27	2	E	infected	30.5	15	64	79	1.450832882	No									
32	N-27-7	N-27	1	B	infected	30.5	33	49	82	0.395312737	No									
116	N-27-7	N-27	2	F	infected	30.5	35	45	80	0.251314428	No									
79	N-41-1	N-41	1	D	uninfected	19.5	51	32	83	-0.46608973	No									
163	N-41-1	N-41	2	H	uninfected	19.5	68	15	83	-1.511457504	No									
67	N-41-10	N-41	1	D	uninfected	19.5	31	59	90	0.643550239	No									
151	N-41-10	N-41	2	H	uninfected	19.5	46	37	83	-0.217723484	No									
7	N-41-2	N-41	1	A	uninfected	19.5	21	57	78	0.99852883	No									
91	N-41-2	N-41	2	E	uninfected	19.5	34	46	80	0.302280872	No									
43	N-41-3	N-41	1	C	uninfected	19.5	60	32	92	-0.628608659	No									
127	N-41-3	N-41	2	G	uninfected	19.5	22	60	82	1.003302109	No									
31	N-41-4	N-41	1	B	uninfected	19.5	40	42	82	0.048790164	No									
115	N-41-4	N-41	2	F	uninfected	19.5	39	43	82	0.09763847	No									
19	N-41-5	N-41	1	A	uninfected	19.5	40	41	81	0.024692613	No									
103	N-41-5	N-41	2	E	uninfected	19.5	26	55	81	0.749236647	No									
55	N-41-9	N-41	1	C	uninfected	19.5	54	31	85	-0.554996842	No									
139	N-41-9	N-41	2	G	uninfected	19.5	66	16	82	-1.41706602	No									
66	N-62-1	N-62	1	D	infected	12.5	14	74	88	1.665007764	No									
150	N-62-1	N-62	2	H	infected	12.5	10	71	81	1.960094784	No									
42	N-62-11	N-62	1	B	infected	12.5	30	55	85	0.606135804	No									
126	N-62-11	N-62	2	F	infected	12.5	14	69	83	1.595049175	No									
18	N-62-15	N-62	1	A	infected	12.5	11	73	84	1.892564168	No									
102	N-62-15	N-62	2	E	infected	12.5	10	71	81	1.960094784	No									
54	N-62-3	N-62	1	C	infected	12.5	29	54	83	0.621688217	No									
138	N-62-3	N-62	2	G	infected	12.5	25	60	85	0.875468737	No									
6	N-62-5	N-62	1	A	infected	12.5	30	50	80	0.510825624	No									
90	N-62-5	N-62	2	E	infected	12.5	25	63	88	0.924258902	No									
78	N-62-6	N-62	1	D	infected	12.5	27	56	83	0.729514825	No									
162	N-62-6	N-62	2	H	infected	12.5	28	55	83	0.675128675	No									
30	N-62-8	N-62	1	B	infected	12.5	28	55	83	0.675128675	No									
114	N-62-8	N-62	2	F	infected	12.5	14	69	83	1.595049175	No									
4	SK-1-11	SK-1	1	A	infected	30.5	70	18	88	-1.358123484	No									
88	SK-1-11	SK-1	2	E	infected	30.5	50	33	83	-0.415515444	No									
16	SK-1-14	SK-1	1	A	infected	30.5	40	40	80	0	No									
100	SK-1-14	SK-1	2	E	infected	30.5	49	33	82	-0.395312737	No									
64	SK-1-3	SK-1	1	D	infected	30.5	46	41	87	-0.11506933	No									
148	SK-1-3	SK-1	2	H	infected	30.5	33	48	81	0.374693449	No									
28	SK-1-4	SK-1	1	B	infected	30.5	69	24	93	-1.056052674	No									
112	SK-1-4	SK-1	2	F	infected	30.5	27	56	83	0.729514825	No									
52	SK-1-5a	SK-1	1	C	infected	30.5	68	18	86	-1.329135947	No									
136	SK-1-5a	SK-1	2	G	infected	30.5	37	47	84	0.239229689	No									
76	SK-1-6a	SK-1	1	D	infected	30.5	66	25	91	-0.970778917	No									
160	SK-1-6a	SK-1	2	H	infected	30.5	58	21	79	-1.015920573	No									
40	SK-1-7	SK-1	1	B	infected	30.5	61	30	91	-0.709676483	No									
124	SK-1-7	SK-1	2	F	infected	30.5	60	19	79	-1.149905583	No									
27	SK-16-1	SK-16	1	B	uninfected	19.5	75	6	81	-2.525728644	No									
111	SK-16-1	SK-16	2	F	uninfected	19.5	78	7	85	-2.410798678	No									
3	SK-16-12	SK-16	1	A	uninfected	19.5	64	20	84	-1.16315081	No									
87	SK-16-12	SK-16	2	E	uninfected	19.5	83	1	84	-4.418840608	No									
