ID:	Clone_ID	population	replicate	infection_status	Pop_age	spores_per_ind	total_pop_size	spores_per_pop
73	G-13-10	G-13	1	infected	5.0	21542	147	3166625
157	G-13-10	G-13	2	infected	5.0	19219	202	3882188
241	G-13-10	G-13	3	infected	5.0	2175	172	374100
61	G-13-11	G-13	1	infected	5.0	29000	93	2697000
145	G-13-11	G-13	2	infected	5.0	33667	90	3030000
229	G-13-11	G-13	3	infected	5.0	11400	156	1778400
49	G-13-13	G-13	1	infected	5.0	5775	118	681450
133	G-13-13	G-13	2	infected	5.0	7200	147	1058400
217	G-13-13	G-13	3	infected	5.0	825	160	132000
13	G-13-15	G-13	1	infected	5.0	14475	148	2142300
97	G-13-15	G-13	2	infected	5.0	9750	142	1384500
181	G-13-15	G-13	3	infected	5.0	1425	162	230850
1	G-13-4	G-13	1	infected	5.0	13950	133	1855350
85	G-13-4	G-13	2	infected	5.0	5850	216	1263600
169	G-13-4	G-13	3	infected	5.0	3750	160	600000
37	G-13-7	G-13	1	infected	5.0	8400	113	949200
121	G-13-7	G-13	2	infected	5.0	3375	190	641250
205	G-13-7	G-13	3	infected	5.0	975	196	191100
25	G-13-8	G-13	1	infected	5.0	15000	172	2580000
109	G-13-8	G-13	2	infected	5.0	18971	180	3414706
193	G-13-8	G-13	3	infected	5.0	3975	142	564450
14	G-2-10	G-2	1	uninfected	7.5	11325	120	1359000
98	G-2-10	G-2	2	uninfected	7.5	19250	225	4331250
182	G-2-10	G-2	3	uninfected	7.5	2057	143	294171
74	G-2-16	G-2	1	uninfected	7.5	12375	164	2029500
158	G-2-16	G-2	2	uninfected	7.5	13688	175	2395313
242	G-2-16	G-2	3	uninfected	7.5	300	128	38400
62	G-2-19	G-2	1	uninfected	7.5	3075	429	1319175
146	G-2-19	G-2	2	uninfected	7.5	34929	118	4121571
230	G-2-19	G-2	3	uninfected	7.5	4650	177	823050
50	G-2-2	G-2	1	uninfected	7.5	16594	190	3152813
134	G-2-2	G-2	2	uninfected	7.5	21125	159	3358875
218	G-2-2	G-2	3	uninfected	7.5	2850	166	473100
26	G-2-3	G-2	1	uninfected	7.5	36750	206	7570500
110	G-2-3	G-2	2	uninfected	7.5	5850	215	1257750
194	G-2-3	G-2	3	uninfected	7.5	1425	155	220875
38	G-2-4	G-2	1	uninfected	7.5	18094	108	1954125
122	G-2-4	G-2	2	uninfected	7.5	14906	219	3264469
206	G-2-4	G-2	3	uninfected	7.5	300	183	54900
2	G-2-7	G-2	1	uninfected	7.5	44786	113	5060786
86	G-2-7	G-2	2	uninfected	7.5	2775	209	579975
170	G-2-7	G-2	3	uninfected	7.5	3450	150	517500
10	K-10-1	K-10	1	infected	15.0	24092	95	2288769
94	K-10-1	K-10	2	infected	15.0	23250	143	3324750
178	K-10-1	K-10	3	infected	15.0	4725	167	789075
82	K-10-11	K-10	1	infected	15.0	11400	260	2964000
166	K-10-11	K-10	2	infected	15.0	3900	162	631800
250	K-10-11	K-10	3	infected	15.0	3450	235	810750
70	K-10-15	K-10	1	infected	15.0	8325	180	1498500
154	K-10-15	K-10	2	infected	15.0	6700	115	770500
238	K-10-15	K-10	3	infected	15.0	525	133	69825
