Replicate	Clone	population	infection_status	birth_date	maturity_date	age_mat	bodysize_mat	bodysize_mat_mm	headsize_mat	bodyhead_ratio	firstclutch_date	age_firstcl	firstcl_offspr	secondcl_date	age_secondcl	secondcl_offspr	thirdcl_date	age_thirdcl	thirdcl_offspr	bodysize_thirdcl	bodysize_thirdcl_mm	growth_mat_to_thirdcl_mm	Rnaught	tot_offsp_deadexcl	r
1	G-13-4	G-13	infected	23.06.2015	02.07.2015	9	7.1	2.327868852	1.4	5.071428571	05.07.2015	12	5	08.07.2015	15	15	11.07.2015	18	25	10.5	3.442622951	1.114754098	45	45	0.241502886
2	G-13-4	G-13	infected	21.06.2015	29.06.2015	8	7.6	2.491803279	1.5	5.066666667	02.07.2015	11	8	06.07.2015	15	18	09.07.2015	18	26	10.9	3.573770492	1.081967213	52	52	0.264433833
3	G-13-4	G-13	infected	22.06.2015	03.07.2015	11	7.8	2.557377049	1.6	4.875	06.07.2015	14	1	08.07.2015	16	19	12.07.2015	20	30	11.1	3.639344262	1.081967213	50	50	0.218644573
4	G-13-4	G-13	infected	28.06.2015	08.07.2015	10	8.1	2.655737705	1.5	5.4	11.07.2015	13	11	14.07.2015	16	19	17.07.2015	19	25	11.5	3.770491803	1.114754098	55	55	0.249398851
5	G-13-4	G-13	infected	24.06.2015	05.07.2015	11	7.7	2.524590164	1.5	5.133333333	08.07.2015	14	8	11.07.2015	17	18	14.07.2015	20	25	11.1	3.639344262	1.114754098	51	51	0.225784668
1	G-13-15	G-13	infected	24.06.2015	06.07.2015	12	7.7	2.524590164	1.6	4.8125	09.07.2015	15	3	12.07.2015	18	12	15.07.2015	21	20	10.6	3.475409836	0.950819672	35	35	0.186455764
2	G-13-15	G-13	infected	23.06.2015	04.07.2015	11	8.4	2.754098361	1.6	5.25	07.07.2015	14	11	10.07.2015	17	23	13.07.2015	20	24	11.9	3.901639344	1.147540984	58	58	0.238050642
3	G-13-15	G-13	infected	20.06.2015	29.06.2015	9	8.2	2.68852459	1.6	5.125	02.07.2015	12	10	05.07.2015	15	21	08.07.2015	18	22	11.2	3.672131148	0.983606557	53	53	0.264775345
4	G-13-15	G-13	infected	22.06.2015	04.07.2015	12	7.9	2.590163934	1.6	4.9375	07.07.2015	15	3	DEAD	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.073240819
5	G-13-15	G-13	infected	22.06.2015	04.07.2015	12	8.1	2.655737705	1.7	4.764705882	07.07.2015	15	3	10.07.2015	18	17	14.07.2015	22	19	11.1	3.639344262	0.983606557	39	39	0.191079788
1	G-13-8	G-13	infected	25.06.2015	03.07.2015	8	7.6	2.491803279	1.6	4.75	06.07.2015	11	9	09.07.2015	14	17	12.07.2015	17	22	10.2	3.344262295	0.852459016	48	48	0.275295327
2	G-13-8	G-13	infected	25.06.2015	03.07.2015	8	7.6	2.491803279	1.5	5.066666667	06.07.2015	11	9	09.07.2015	14	16	12.07.2015	17	26	10.8	3.540983607	1.049180328	51	51	0.276472278
3	G-13-8	G-13	infected	23.06.2015	01.07.2015	8	7.4	2.426229508	1.6	4.625	04.07.2015	11	5	08.07.2015	15	12	11.07.2015	18	17	10.4	3.409836066	0.983606557	34	34	0.233421043
4	G-13-8	G-13	infected	24.06.2015	03.07.2015	9	7.9	2.590163934	1.6	4.9375	06.07.2015	12	6	10.07.2015	16	17	13.07.2015	19	19	10.5	3.442622951	0.852459016	42	42	0.233136086
5	G-13-8	G-13	infected	23.06.2015	02.07.2015	9	7.5	2.459016393	1.5	5	05.07.2015	12	6	08.07.2015	15	14	11.07.2015	18	24	10.8	3.540983607	1.081967213	44	44	0.24253072
1	G-13-7	G-13	infected	24.06.2015	03.07.2015	9	7.8	2.557377049	1.5	5.2	06.07.2015	12	5	09.07.2015	15	18	12.07.2015	18	23	10.8	3.540983607	0.983606557	46	46	0.245012431
2	G-13-7	G-13	infected	24.06.2015	03.07.2015	9	7.5	2.459016393	1.4	5.357142857	06.07.2015	12	6	09.07.2015	15	15	13.07.2015	19	23	10.9	3.573770492	1.114754098	44	44	0.239144758
3	G-13-7	G-13	infected	20.06.2015	26.06.2015	6	9.3	3.049180328	1.6	5.8125	30.06.2015	10	15	03.07.2015	13	26	06.07.2015	16	34	11.6	3.803278689	0.754098361	75	75	0.336661509
4	G-13-7	G-13	infected	23.06.2015	02.07.2015	9	7.4	2.426229508	1.5	4.933333333	05.07.2015	12	7	08.07.2015	15	15	11.07.2015	18	20	10.4	3.409836066	0.983606557	42	42	0.244547327
5	G-13-7	G-13	infected	23.06.2015	02.07.2015	9	7.3	2.393442623	1.4	5.214285714	05.07.2015	12	5	08.07.2015	15	12	11.07.2015	18	17	10.2	3.344262295	0.950819672	34	34	0.227818562
1	G-13-13	G-13	infected	24.06.2015	03.07.2015	9	7.2	2.360655738	1.5	4.8	06.07.2015	12	8	09.07.2015	15	16	13.07.2015	19	21	10.8	3.540983607	1.180327869	45	45	0.246920289
2	G-13-13	G-13	infected	24.06.2015	02.07.2015	8	7	2.295081967	1.4	5	05.07.2015	11	8	08.07.2015	14	16	11.07.2015	17	21	10.6	3.475409836	1.180327869	45	45	0.269159674
3	G-13-13	G-13	infected	22.06.2015	29.06.2015	7	6.9	2.262295082	1.5	4.6	02.07.2015	10	7	05.07.2015	13	13	09.07.2015	17	20	10.1	3.31147541	1.049180328	40	40	0.274855233
4	G-13-13	G-13	infected	24.06.2015	03.07.2015	9	7.8	2.557377049	1.5	5.2	06.07.2015	12	10	09.07.2015	15	17	12.07.2015	18	22	10.6	3.475409836	0.918032787	49	49	0.259283752
5	G-13-13	G-13	infected	25.06.2015	01.07.2015	6	6.7	2.196721311	1.4	4.785714286	04.07.2015	9	6	07.07.2015	12	14	10.07.2015	15	21	10.2	3.344262295	1.147540984	41	41	0.301641965
1	G-13-11	G-13	infected	20.06.2015	28.06.2015	8	9.1	2.983606557	1.6	5.6875	01.07.2015	11	13	04.07.2015	14	28	07.07.2015	17	29	11.4	3.737704918	0.754098361	70	70	0.3055849
2	G-13-11	G-13	infected	23.06.2015	01.07.2015	8	7.4	2.426229508	1.5	4.933333333	04.07.2015	11	8	07.07.2015	14	16	10.07.2015	17	26	10.8	3.540983607	1.114754098	50	50	0.272859494
3	G-13-11	G-13	infected	22.06.2015	02.07.2015	10	7.6	2.491803279	1.5	5.066666667	05.07.2015	13	2	08.07.2015	16	16	11.07.2015	19	22	10.6	3.475409836	0.983606557	40	40	0.215320175
4	G-13-11	G-13	infected	23.06.2015	01.07.2015	8	7.3	2.393442623	1.5	4.866666667	04.07.2015	11	8	07.07.2015	14	11	10.07.2015	17	26	10.6	3.475409836	1.081967213	45	45	0.264279517
5	G-13-11	G-13	infected	21.06.2015	29.06.2015	8	7.9	2.590163934	1.6	4.9375	02.07.2015	11	13	06.07.2015	15	10	09.07.2015	18	24	11	3.606557377	1.016393443	47	47	0.272072622
